nome,lat,long
Aeródromo de Braga,"41,58680242","-8,442831053"
Altice Forum Braga,"41,54137248","-8,425233002"
Bom Jesus - Braga,"41,554711","-8,377127"
Braga Parque,"41,557605","-8,405893"
Braga Shopping,"41,55272","-8,422535"
Café a Brasileira - Braga,"41,550793","-8,423581"
Complexo Desportivo da Rodovia - Braga,"41,551311","-8,408006"
Gold Center - Braga,"41,549729","-8,421517"
Hotel João XXI - Braga,"41,545824","-8,419172"
Hotel Mercure - Braga,"41,546482","-8,419868"
Liberty Fitness Center - Braga,"41,5490653","-8,4226629"
Nova Arcada - Braga,"41,578505","-8,430238"
Parque da Avenida Central - Braga,"41,5508353","-8,4254462"
Parque Rodovia - Braga,"41,5531821","-8,4039542"
Sameiro - Braga,"41,541882","-8,370178"
Sé Catedral de Braga,"41,549966","-8,427063"
Taberna Belga - Braga,"41,5616059","-8,4227089"
Universidade do Minho - Braga,"41,56120839","-8,396318613"
Arco da Porta Nova - Braga,"41,5502642","-8,4378489"
Estação de Comboios - Braga,"41,54839828","-8,434732044"
Estádio 1° de Maio - Braga,"41,53895808","-8,420576973"
Estádio Municipal de Braga,"41,5625778","-8,429823061"
Castelo de Guimarães,"41,44809529","-8,290136526"
Parque da Cidade - Guimarães,"41,4464657","-8,280577861"
Torre de Belém - Lisboa,"38,69160719","-9,215975927"
Jardim Zoológico de Lisboa,"38,74441116","-9,170720009"
Jardim Botânico de Lisboa,"38,71833238","-9,148542891"
Parque Florestal de Monsanto - Lisboa,"38,73826081","-9,188828315"
Mosteiro dos Jerónimos - Lisboa,"38,69798912","-9,206706336"
Museu Coleção Berardo - Lisboa,"38,69594259","-9,209092704"
Aeroporto Humberto Delgado - Lisboa,"38,77558408","-9,135378721"
Estádio da Luz - Lisboa,"38,75273133","-9,184784885"
Estádio Alvalade - Lisboa,"38,76117611","-9,160888923"
Praia de Carcavelos - Cascais,"38,67960431","-9,336019459"
Farol Museu de Santa Marta - Lisboa,"38,69093165","-9,42135636"
Oceanário de Lisboa,"38,76363619","-9,093769781"
Altice Arena - Lisboa,"38,76864388","-9,094022141"
"Castelo de S, Jorge - Lisboa","38,71393665","-9,133487681"
Museu Calouste Gulbenkian - Lisboa,"38,73783663","-9,153547739"
Museu Nacional do Azulejo - Lisboa,"38,72472249","-9,113832609"
Miradouro da Senhora do Monte - Lisboa,"38,71919674","-9,132838925"
Miradouro da Graça - Lisboa ,"38,71635429","-9,131513372"
Chiado - Lisboa,"38,71055622","-9,142203604"
Panteão Nacional - Lisboa,"38,71487104","-9,124965974"
Palácio Nacional da Ajuda - Lisboa,"38,70764776","-9,197632766"
Convento do Carmo - Lisboa,"38,71214902","-9,140250112"
Padrão dos Descobrimentos - Lisboa,"38,69361539","-9,205713466"
Museu Nacional de Arte Antiga - Lisboa,"38,70452513","-9,162204969"
Ponte Vasco da Gama - Lisboa,"38,75809182","-9,037473241"
Parque Eduardo VII - Lisboa,"38,72825542","-9,152704683"
Igreja de Santa Maria de Belém - Lisboa,"38,69771165","-9,205497602"
Marquês de Pombal - Lisboa,"38,72528272","-9,150067598"
Parque e Palácio Nacional da Pena - Sintra,"38,78759367","-9,390605969"
Mosteiro de São Martinho de Tibães - Braga,"41,55641669","-8,478777352"
Praça da República - Braga,"41,55154707","-8,422282874"
Igreja de Santa Cruz - Braga,"41,54949636","-8,424007758"
Palácio do Raio - Braga,"41,54858431","-8,422539658"
Jardim da Casa dos Biscaínhos - Braga,"41,55098306","-8,430224844"
Rua do Souto - Braga,"41,55075749","-8,425393073"
Museu dos Biscaínhos - Braga,"41,55129567","-8,429457015"
Igreja da Misericórdia de Braga,"41,55064422","-8,42699269"
Avenida da Liberdade - Braga,"41,54729916","-8,420581265"
Torre de Menagem - Braga,"41,55148582","-8,424041017"
Praia Fluvial de Adaúfe - Braga,"41,61000417","-8,408257279"
Miradouro do Picoto - Braga,"41,53812611","-8,413956427"
Basílica dos Congregados - Braga,"41,55128205","-8,421341002"
Termas Romanas do Alto da Cividade - Braga,"41,54645271","-8,42939721"
"Museu de Arqueologia D, Diogo de Sousa - Braga","41,54620045","-8,427167415"
Torre Medieval - Barcelos,"41,53107964","-8,619833902"
Templo do Senhor Bom Jesus da Cruz - Barcelos,"41,53201933","-8,619147256"
Igreja Matriz de Santa Maria Maior - Barcelos,"41,52877183","-8,622194781"
Parque Municipal de Barcelos,"41,53265008","-8,614955564"
IPCA - Barcelos,"41,53749533","-8,627829071"
Monumento ao Bombeiro - Barcelos,"41,53349581","-8,619475385"
Estádio Cidade de Barcelos,"41,55142475","-8,623237503"
Campo da Feira - Barcelos,"41,53288793","-8,618000986"
Museu de Olaria - Barcelos,"41,52925118","-8,620705689"
Rua Direita - Barcelos,"41,53094229","-8,620033547"
Castelo de Algoso,"41,54388955","-8,792795324"
Praia de Ofir - Esposende,"41,51902904","-8,788011855"
Pacha Ofir - Esposende,"41,50120337","-8,777461946"
Praia da Apúlia - Esposende,"41,48426248","-8,778675561"
Ponte de Barcelos,"41,52759082","-8,622297724"
Jardim de Arca d'Água - Porto,"41,17266693","-8,612415682"
Palácio São Silvestre - Coimbra,"40,23555355","-8,531632751"
Parque de Merendas da Fonte os Castanheiros - Coimbra,"40,19604631","-8,49193299"
Estádio Municipal Sergio Conceição - Coimbra,"40,18722369","-8,50972116"
Miradouro do Vale do Inferno - Coimbra,"40,1915368","-8,433629572"
Jardins da Quinta das Lágrimas - Coimbra,"40,20020316","-8,434541524"
Parque Verde do Mondego - Coimbra,"40,20261438","-8,425687552"
Jardim da Sereia - Coimbra,"40,21028384","-8,41796279"
Miradouro do Penedo da Saudade - Coimbra,"40,20523652","-8,41455102"
Praia fluvial de Palheiros e Zorro - Coimbra,"40,20095706","-8,367976359"
Portugal dos Pequenitos - Coimbra,"40,20393571","-8,434812427"
Mosteiro de Santa Clara-a-Nova - Coimbra,"40,20328017","-8,43708694"
Aeródromo Municipal Bissaya Barreto - Coimbra,"40,15763926","-8,467339575"
Parque Verde do Alto dos Barreiros - Coimbra,"40,18769087","-8,44370395"
Aqueduto de São Sebastião - Coimbra,"40,20768034","-8,42076838"
Parque de Merendas de Taveiro - Cantanhede,"40,2139974","-8,506249533"
Piscina Natural de Ançã - Ançã,"40,27404557","-8,525122404"
Praia Fluvial dos Olhos da Fervença - Cantanhede,"40,3549331","-8,697373946"
"Parque de Merendas do Casal de S,Tomé - Mira","40,42143564","-8,751082421"
Praia do Palheirão - Cantanhede,"40,39357761","-8,82584095"
Praia dos Almadoiros - Figueira da Foz,"40,3627161","-8,834767342"
Campo de Tiro de Quiaios - Figueira da Foz,"40,23269113","-8,84557128"
Cascata de Quiaios - Figueira da Foz,"40,21132644","-8,863681555"
Miradouro da Bandeira - Figueira da Foz,"40,20424708","-8,879587054"
Praia da Murtinheira - Figueira da Foz,"40,20917363","-8,894108534"
Praia de Quiaios - Figueira da Foz,"40,21706968","-8,893993199"
Piscina Municipal de Alhadas - Coimbra,"40,19102047","-8,78968209"
